id	gender	name
9751	MALE	E. B. White
9764	FEMALE	Emma Goldman
9779	MALE	Edvard Munch
9799	FEMALE	Erin Brockovich
9808	MALE	Euripides
9810	FEMALE	Emily BrontÃ«
9814	MALE	E. E. Smith
9815	MALE	Ã‰variste Galois
9824	FEMALE	Edna St. Vincent Millay
9840	MALE	Elijah
9935	FEMALE	Eadgyth
9941	MALE	Ã†thelberht of Kent
9946	MALE	Ed Sullivan
9948	FEMALE	Louise Ã‰lisabeth VigÃ©e Le Brun
9956	MALE	Erik Satie
9962	FEMALE	Eleanor of Aquitaine
9997	MALE	Edward Mitchell Bannister
10002	MALE	Emil Kraepelin
10017	MALE	Ettore Ximenes
10018	MALE	Edsger W. Dijkstra
10030	MALE	Edmund Burke
10049	MALE	Eric Clapton
10071	FEMALE	Elizabeth Gracen
10083	MALE	Ã†thelred the Unready
10085	MALE	Edward Elgar
10101	MALE	Eugene Wigner
10118	MALE	Ezra Abbot
10119	MALE	Edwin Abbott Abbott
10120	FEMALE	Emma Abbott
10126	MALE	Emperor Kanmu
10128	FEMALE	Elizabeth I of England
10133	MALE	Elias Boudinot
10139	MALE	Edward de Vere, 17th Earl of Oxford
10148	MALE	Ernst Kaltenbrunner
10150	MALE	Engelbert Dollfuss
10151	MALE	E. T. A. Hoffmann
10152	MALE	Desiderius Erasmus
10169	MALE	Eusebius of Angers
10172	MALE	Eusebius
10204	MALE	Elihu Yale
10207	MALE	Ã‰mile Baudot
10244	MALE	Ã‰douard de Pomiane
10245	MALE	Edward VI of England
10252	MALE	E. H. Shepard
10258	FEMALE	Enid Blyton
10264	MALE	Enrico Fermi
10277	MALE	Ennio Morricone
10281	MALE	Emin Boztepe
10287	MALE	Hirohito
10293	MALE	Elbridge Gerry
10310	MALE	Edward Gibbon
10313	MALE	E. O. Wilson
10315	MALE	Edwin Howard Armstrong
10328	MALE	Evliya Ã‡elebi
10357	MALE	Earle Page
10358	MALE	Ephrem the Syrian
10388	MALE	Eric Cheney
10391	FEMALE	Ellen van Langen
10393	MALE	Edward Bulwer-Lytton
10407	MALE	Epictetus
10408	MALE	Edward Lear
10409	FEMALE	Eve Arden
10432	MALE	Emperor Junnin
10439	MALE	Emperor SukÅ
10440	MALE	Emperor Go-KÅgon
10441	MALE	Emperor Go-En'yÅ«
10472	FEMALE	Elyssa Davalos
10473	MALE	Emil Theodor Kocher
10475	MALE	Enrico Bombieri
10478	MALE	Eduardo Blasco Ferrer
10482	MALE	Eli Wallach
10489	MALE	Edwin Hubble
10506	MALE	Emperor Kazan
10510	MALE	Elvis Costello
10518	MALE	Elie Wiesel
10520	MALE	Ed Wood
10576	MALE	Francis Ford Coppola
10671	MALE	Friedrich Nietzsche
10672	MALE	Frank Zappa
10683	MALE	Frank Lloyd Wright
10770	MALE	FranÃ§ois Truffaut
10823	MALE	FrÃ©dÃ©ric Chopin
10852	MALE	Frank Herbert
10855	MALE	Franco Baresi
10858	MALE	Franz Kafka
10868	MALE	Francisco Goya
10871	MALE	FM-2030
10875	MALE	Fritz Leiber
10896	MALE	Felix Bloch
10937	MALE	Francis Scott Key
10957	MALE	Francis Xavier
10965	FEMALE	Fay Wray
10979	MALE	Franklin D. Roosevelt
10989	MALE	Felix Hausdorff
10993	MALE	Albert of Saxony
11001	MALE	Fred Hoyle
11015	MALE	Francesco Algarotti
11017	MALE	Francesco Andreini
11022	MALE	Francis Hopkinson
11033	MALE	Frederick Douglass
11041	MALE	Ferdinand de Saussure
11103	MALE	Fabritio Caroso
11109	MALE	FÃ©lix Guattari
11125	MALE	Francesco Borromini
11161	MALE	Frederick Copleston
11181	MALE	Frank Sinatra
11194	MALE	Francis Fukuyama
11282	MALE	FrÃ©dÃ©ric Bastiat
11285	MALE	Francisco I. Madero
11319	MALE	Francis Bacon
11358	MALE	Felix Wankel
11366	MALE	Fabio Taglioni
11369	MALE	Frank Capra
11397	MALE	Freeman Dyson
11418	MALE	Fiorello H. La Guardia
11431	MALE	Fernando Pessoa
11449	MALE	Frederick William, Elector of Brandenburg
11457	MALE	Fra Angelico
11458	MALE	Fra Bartolomeo
11459	MALE	FrÃ©dÃ©ric Bazille
11460	MALE	Ford Madox Brown
11461	MALE	Francis Crick
11466	MALE	Francisco Franco
11472	MALE	Frederick III, Holy Roman Emperor
11479	MALE	F. W. de Klerk
11508	MALE	Francis Drake
11530	MALE	Fred Savage
11543	MALE	Firmin Abauzit
11551	MALE	Francis II, Holy Roman Emperor
11552	MALE	Frederick Abel
11574	MALE	Friedrich Bessel
11623	MALE	Francesco I Sforza
11625	MALE	Fyodor Dostoyevsky
11631	MALE	Fritz Lang
11638	MALE	Francis of Assisi
11646	MALE	Friedrich Hayek
11651	MALE	Fred Reed
11652	MALE	Fred Brooks
11698	MALE	Franz Boas
11699	MALE	Franz Bopp
11705	MALE	Franklin J. Schaffner
11723	MALE	Freddy Heineken
11734	MALE	Fred Singer
11736	MALE	Frederik Pohl
11740	MALE	Forrest J Ackerman
11768	MALE	Franz Schmidt
11778	MALE	Frederick Soddy
11786	MALE	Federico Fellini
11788	MALE	Frederick I, Margrave of Brandenburg-Ansbach
11794	MALE	Frederick William I of Prussia
